Index,Symbol
336,NEE
337,NLSN
338,NKE
339,NI
340,NSC
341,NTRS
342,NOC
343,NLOK
344,NCLH
345,NOV
346,NRG
347,NUE
348,NVDA
349,NVR
350,NXPI
351,ORLY
352,OXY
353,ODFL
354,OMC
355,OKE
356,ORCL
357,OTIS
358,PCAR
359,PKG
360,PH
361,PAYX
362,PAYC
363,PYPL
364,PENN
365,PNR
366,PBCT
367,PEP
368,PKI
369,PRGO
370,PFE
371,PM
372,PSX
373,PNW
374,PXD
375,PNC
376,POOL
377,PPG
378,PPL
379,PFG
380,PG
381,PGR
382,PLD
383,PRU
384,PTC
385,PEG
386,PSA
387,PHM
388,PVH
389,QRVO
390,PWR
391,QCOM
392,DGX
393,RL
394,RJF
395,RTX
396,O
397,REG
398,REGN
399,RF
400,RSG
401,RMD
402,RHI
403,ROK
404,ROL
405,ROP
406,ROST
407,RCL
408,SPGI
409,CRM
410,SBAC
411,SLB
412,STX
413,SEE
414,SRE
415,NOW
416,SHW
417,SPG
418,SWKS
419,SNA
420,SO
421,LUV
422,SWK
423,SBUX
424,STT
425,STE
426,SYK
427,SIVB
428,SYF
429,SNPS
430,SYY
431,TMUS
432,TROW
433,TTWO
434,TPR
435,TGT
436,TEL
437,TDY
438,TFX
439,TER
440,TSLA
441,TXN
442,TXT
443,TMO
444,TJX
445,TSCO
446,TT
447,TDG
448,TRV
449,TRMB
450,TFC
451,TWTR
452,TYL
453,TSN
454,UDR
455,ULTA
456,USB
457,UAA
458,UA
459,UNP
460,UAL
461,UNH
462,UPS
463,URI
464,UHS
465,UNM
466,VLO
467,VTR
468,VRSN
469,VRSK
470,VZ
471,VRTX
472,VFC
473,VIAC
474,VTRS
475,V
476,VNO
477,VMC
478,WRB
479,WAB
480,WMT
481,WBA
482,DIS
483,WM
484,WAT
485,WEC
486,WFC
487,WELL
488,WST
489,WDC
490,WU
491,WRK
492,WY
493,WHR
494,WMB
495,WLTW
496,WYNN
497,XEL
498,XLNX
499,XYL
500,YUM
501,ZBRA
502,ZBH
503,ZION
504,ZTS
